timestamp,connections,running_threads,cpu,memory,disk
1771701151.2456365,1,2,21.6,90.2,35.9
1771701161.2656229,1,2,15.4,91.3,35.9
1771701201.3446445,1,2,15.4,91.2,35.9
1771701211.3719604,1,2,20.8,92.3,35.9
1771701221.3891354,1,2,16.4,92.5,35.9
1771701231.4095144,3,3,13.9,92.0,35.9
1771701241.4257028,3,3,21.2,91.9,35.9
1771701251.447202,3,3,21.9,91.9,35.9
1771701261.4622395,3,3,19.7,91.6,35.9
1771701271.4781554,3,3,18.9,91.6,35.9
1771701281.4968052,4,4,21.3,91.4,35.9
1771701291.5121646,4,4,24.7,91.6,35.9
1771701301.5324068,4,4,27.8,91.7,35.9
1771701311.549351,4,4,21.7,91.5,35.9
1771701321.567252,4,4,22.3,91.4,35.9
1771701331.586897,3,3,26.9,91.7,35.9
1771701341.6047661,3,3,20.0,91.6,35.9
1771701351.621078,3,3,15.3,90.8,35.9
1771701361.63715,2,2,19.5,90.9,35.9
1771701371.6554956,2,2,12.0,91.0,35.9
1771701381.6716268,2,2,11.2,90.9,35.9
1771701391.6880755,2,2,10.6,90.7,35.9
1771701401.7078562,2,2,17.9,91.3,35.9
1771701411.729898,2,2,17.5,91.1,35.9
1771701421.7520616,2,2,12.2,90.7,35.9
1771701431.774767,2,2,14.6,90.8,35.9
1771701441.790769,2,2,11.6,90.7,35.9
1771701451.8092642,2,2,9.1,90.6,35.9
1771701461.8280904,2,2,14.7,91.7,35.9
1771701471.8467789,2,2,10.5,90.5,35.9
1771701481.8634012,2,2,9.8,90.5,35.9
1771701491.8775415,2,2,8.3,90.3,35.9
1771701501.8940465,2,2,9.3,90.4,35.9
1771701511.9063618,2,2,9.9,90.5,35.9
1771701521.9204516,2,2,7.8,90.5,35.9
1771701531.9361222,2,2,10.2,90.6,35.9
1771701541.9512074,2,2,12.0,91.1,35.9
1771701551.9677835,2,2,12.8,91.1,35.9
1771701561.9863951,2,2,19.9,91.0,35.9
1771701572.011133,2,2,17.6,90.7,35.9
1771701582.0286725,2,2,23.6,92.7,35.9
1771701592.0628748,2,2,36.9,95.3,36.5
1771701602.0868444,2,2,43.3,95.6,36.5
1771701612.1246672,2,2,19.6,95.1,36.5
1771701622.1492333,2,2,18.8,94.7,36.5
1771701632.1674588,2,2,15.9,94.6,36.5
1771701642.1924732,2,2,15.6,88.9,36.5
1771701652.2145057,2,2,13.6,88.6,36.5
1771701662.2330723,2,2,23.0,89.4,36.5
1771701672.2494922,2,2,19.4,90.1,36.5
1771701682.271914,2,2,12.8,90.1,36.5
1771701692.2883334,2,2,12.8,90.1,36.5
1771701702.3110168,2,2,16.4,89.8,36.5
1771701712.3286498,2,2,10.5,89.5,36.5
1771701722.3467166,2,2,18.7,89.9,36.5
1771701732.3636124,2,2,10.7,89.5,36.5
1771701742.3807335,2,2,16.0,89.8,36.5
1771701752.3971958,2,2,10.8,89.4,36.5
1771701762.411483,2,2,10.8,89.4,36.5
1771701772.426429,2,2,12.4,89.3,36.5
1771701782.4491518,2,2,15.7,89.4,36.5
1771701792.464462,2,2,12.7,89.6,36.5
1771701802.4808087,2,2,11.4,89.5,36.5
1771701812.495898,2,2,11.6,89.5,36.5
1771701822.5107481,3,2,9.7,88.9,36.5
1771701832.538247,3,2,33.1,87.7,36.5
1771701842.5537696,3,2,20.7,88.6,36.5
1771701852.570111,3,2,11.3,88.3,36.5
1771701862.586108,3,2,16.5,87.0,36.5
1771701872.6036518,3,2,31.7,92.4,36.5
1771701882.6255877,3,2,19.4,92.7,36.5
1771701892.644415,3,2,12.7,92.7,36.5
1771701902.663745,3,2,11.1,92.4,36.5
1771701912.681391,3,2,8.8,92.0,36.5
1771701922.6937094,3,2,11.2,92.2,36.5
1771701932.7078576,3,2,11.5,92.2,36.5
1771701942.7311177,3,2,20.4,86.0,36.5
1771701952.7455943,3,2,14.5,83.7,36.5
1771701962.7612307,3,2,11.1,83.8,36.5
1771701972.7752564,3,2,10.4,83.4,36.5
1771701982.791937,3,2,10.8,83.0,36.5
1771701992.8085194,3,2,11.3,83.1,36.5
1771702002.8231142,3,2,10.6,83.0,36.5
1771702012.8477085,3,2,10.6,83.1,36.5
1771702022.8620398,3,2,23.8,85.4,36.5
1771702032.8786514,3,2,9.5,85.2,36.5
1771702042.8967168,3,2,11.5,84.9,36.5
1771702052.9145222,3,2,12.7,85.6,36.5
1771702062.93082,3,2,9.3,85.3,36.5
1771702072.948069,3,2,17.3,87.1,36.5
1771702082.9702303,3,2,27.9,86.7,36.5
1771702092.989304,3,2,18.9,86.6,36.5
1771702103.0087378,3,2,20.4,81.2,36.5
1771702113.0228682,3,2,12.7,81.3,36.5
1771702123.0417945,3,2,11.7,81.0,36.5
1771702133.0618272,3,2,12.8,81.1,36.5
1771702143.0836346,3,2,12.2,81.1,36.5
1771702153.097321,3,2,10.2,80.6,36.5
1771702163.1124506,3,2,12.9,80.5,36.5
1771702173.129237,3,2,10.9,80.5,36.5
1771702183.1422713,3,2,9.7,80.6,36.5
1771702193.1595924,3,2,12.1,80.6,36.5
1771702203.1742778,3,2,12.2,80.6,36.5
1771702213.193945,3,2,12.1,80.7,36.5
1771702223.2337804,3,2,12.1,80.6,36.5
1771702233.2510118,3,2,12.0,80.8,36.5
1771702243.2735152,3,2,15.6,76.4,36.5
1771702253.2913995,3,2,16.8,75.1,36.5
1771702263.3074849,3,2,15.9,75.3,36.5
1771702273.3230116,3,2,10.0,75.1,36.5
1771702283.3407838,3,2,9.8,75.2,36.5
1771702293.362304,3,2,12.6,75.3,36.5
1771702303.3802817,3,2,12.0,75.3,36.5
1771702313.39973,3,2,10.8,75.2,36.5
1771702323.4134862,3,2,11.8,75.3,36.5
1771702333.4318485,3,2,10.5,75.4,36.5
1771702343.4533741,3,2,9.3,75.4,36.5
1771702353.4716387,3,2,13.0,75.6,36.5
1771702363.4844337,3,2,9.8,75.5,36.5
1771702373.5013413,3,2,13.0,75.8,36.5
1771702383.5176802,3,2,12.1,75.4,36.5
1771702393.5361602,3,2,16.1,76.2,36.5
1771702403.5565894,3,2,24.0,77.1,36.5
1771702413.5840018,3,2,18.4,77.4,36.5
1771702423.602764,3,2,18.0,77.6,36.5
1771702433.620491,3,2,18.9,77.8,36.5
1771702443.6426704,3,2,22.6,77.9,36.5
1771702453.6592667,3,2,14.7,77.9,36.5
1771702463.6841228,3,2,19.6,78.2,36.5
1771702473.7010458,3,2,15.0,78.3,36.5
1771702483.7265153,3,2,23.7,79.8,36.5
1771702493.7446811,3,2,27.2,78.3,36.5
1771702503.7607143,3,2,22.9,78.3,36.5
1771702513.7752,3,2,9.2,77.4,36.5
1771702523.80068,3,2,19.4,76.9,36.5
1771702533.8373542,3,2,14.3,77.4,36.5
1771702543.8516245,3,2,23.0,76.0,36.5
1771702553.8663921,3,2,10.7,75.6,36.5
1771702563.8861256,3,2,19.3,81.7,36.5
1771702573.9028723,3,2,25.3,80.7,36.5
1771702583.9234798,3,2,20.0,81.3,36.5
1771702593.945267,3,2,31.8,81.6,36.5
1771702603.9634929,3,2,19.9,81.5,36.5
1771702613.9820795,3,2,19.5,82.3,36.6
1771702624.00083,3,2,24.8,83.1,36.6
1771702634.0251448,3,2,18.2,82.3,36.6
1771702644.0445914,3,2,19.3,81.6,36.6
1771702654.0618775,3,2,17.1,81.1,36.6
1771702664.0769892,3,2,16.9,80.8,36.6
1771702674.0986218,3,2,45.5,83.6,36.6
1771702684.1157753,3,2,82.1,84.2,36.6
1771702694.132819,3,2,48.5,84.6,36.6
1771702704.151492,3,2,20.7,85.3,36.6
1771702714.208289,3,2,42.4,82.5,36.6
1771702724.226261,3,2,11.1,82.5,36.6
1771702734.2461264,3,2,28.0,84.2,36.6
1771702744.261639,3,2,26.6,83.0,36.6
1771702754.2762852,3,2,10.1,83.2,36.6
